S1_exposure;S2_exposure;S3_exposure;S1_pvalue;S2_pvalue;S3_pvalue
SRR12351612;0.452363857088783;4.86941254973903;0.0461793408584208;1.97795580444976e-18;1.97795580444976e-18;1
SRR12351634;0.342028976055987;4.46920908423727;1.29445062748884;1.18088332184773e-16;1.97795580444976e-18;1.97795580444976e-18
SRR12351645;0.132976784891281;3.81138596918944;1.2591074553656;1;1.97795580444976e-18;1.97795580444976e-18
SRR12351651;0.315265290121907;1.01167164076427;2.55395537679286;1.9776212199546e-18;1.9776212199546e-18;1.9776212199546e-18
SRR12351655;0.0918249539595689;2.11727534508052;3.74598058179894;1;1.97795580444976e-18;1.97795580444976e-18
SRR12351663;0;0.442055728499897;4.94476958499124;1;2.07648309351756e-18;1.95466401081384e-18
SRR12351672;1.63361758118541;1.29440940492246;3.7604573516308;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351679;0.439694401680702;1.74677258220247;1.27533782139412;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351697;0.465403498607577;1.68893701468222;1.3016588152628;1.9776212199546e-18;1.9776212199546e-18;1.9776212199546e-18
SRR12351704;0.132976784891281;3.81138596918944;1.2591074553656;1;1.97795580444976e-18;1.97795580444976e-18
SRR12351735;0.304997574949868;2.55379497020749;1.30871676663269;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351741;0.615541707093246;2.36620238860017;0.0493622537327491;1.94607918011096e-18;1.94607918011096e-18;1
SRR12351742;1.31423186123791;0.504041254079055;3.67910896212744;1.97728668910923e-18;1.97728668910923e-18;1.97728668910923e-18
SRR12351746;1.41429767484866;2.17870961931785;2.4798755693474;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12351762;0.231695447273197;4.33666404844169;1.24844541010873;1;1.97795580444976e-18;1.97795580444976e-18
SRR12351767;0.040405407855817;1.96528805041483;4.98761509807212;1;1.97795580444976e-18;1.97795580444976e-18
SRR12351813;0.429426686508661;3.28889591164569;0.0300992112339621;1.97795580444976e-18;1.97795580444976e-18;1
SRR12351824;0.330414109655114;4.86194212769395;1.23778336485186;0.00121919716225414;1.97795580444976e-18;1.97795580444976e-18
SRR12351833;1.56443588333433;2.8559749932358;1.22757900781734;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661005;0.769622390859113;15.2596926749327;11.0805732086376;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661007;6.08678246679927;6.63605625316599;11.1247082638899;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661012;3.91855141626497;1.49467480853049;0;1.9775097037121e-18;1.9775097037121e-18;NA
SRR12661018;1.3053112972947;3.19555486950881;1.2452990044441;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661023;0.81188642665074;0;18.7005206987212;NA;NA;7.77373981688446e-24
SRR12661024;5.26059736027743;11.499792947163;9.9603603550107;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661026;3.68011936703533;5.7389624797118;3.66578208650254;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661031;0.855593973943864;16.5994635642351;9.91168608462583;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661054;1.06679157774505;0;6.14948919178044;NA;NA;7.77373981688446e-24
SRR12661066;3.73325760272863;1.00488298747685;2.42593767363573;1.97795580444976e-18;0.00108020588584253;1.97795580444976e-18
SRR12661073;1.06980358612722;2.86674474828715;8.65812306295765;NA;8.20560273947703e-16;1.83476846315307e-18
SRR12661079;0.944338835625373;16.56854067763;7.45876332084777;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661080;2.99106376041304;16.1340649587182;24.9034076161579;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661082;1.10818213846218;5.93154914830346;7.45528557629062;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661091;5.2944340869895;13.8825297216563;13.505004343611;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661093;0;5.57876334585804;6.37094631866292;1;1.97795580444976e-18;1.97795580444976e-18
SRR12661096;1.7840833415754;2.08229221898686;23.6323351481876;NA;NA;7.77373981688446e-24
SRR12661111;0.0365141678224469;9.64261632551534;12.5557775114144;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661117;0.309426170706767;6.11904191758578;5.02477226067598;1;1.97795580444976e-18;1.97795580444976e-18
SRR12661121;3.9692690577472;23.0543931652082;8.58731742875485;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661123;0.952268182990778;0.539646541020681;6.18009799130057;NA;NA;7.77373981688446e-24
SRR12661124;16.8343409896951;4.64237193886155;29.6254484330548;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661125;2.40906619224999;5.82951550014017;3.69025258268091;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661129;4.89503048548838;4.02949951253995;2.3639127209151;1.9778442703231e-18;1.9778442703231e-18;1.9778442703231e-18
SRR12661130;0;9.6778424618797;8.61284059303147;NA;1.9776212199546e-18;1.9776212199546e-18
SRR12661132;9.11768199416192;11.5515507340794;6.11604010027594;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661141;6.15671193997625;5.07097166825293;4.88882187918731;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661146;3.89194483679679;5.02609181885223;2.41708961885947;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661153;5.27699946158625;3.01963347530396;6.24348346891617;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661154;0;2.1503117471612;4.94158566094036;NA;2.14971092349972e-18;1.96339548774049e-18
SRR12661157;1.06605804101682;8.85232788478928;2.46588037481213;0.999999964665175;1.97795580444976e-18;1.97795580444976e-18
SRR12661169;1.06777673060637;3.96626109788864;2.4676704782185;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661178;7.13499738582521;9.33933307905253;17.2839033456893;3.10527363049107e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661183;4.00505164417634;3.7879430787404;1.17905919647327;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661185;0;11.4646582998526;1.28386718692073;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661187;8.39474250789097;13.1604051096738;24.6857045722173;0.999999999999328;1.97795580444976e-18;1.97795580444976e-18
SRR12661192;0;9.44554853240663;3.76477453010816;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661193;2.79580033834303;12.55990574172;16.0605026859125;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661194;2.34909762056375;2.33358474801704;3.6884385922003;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12661198;1.1397317070542;1.03400173366789;3.71651318226564;2.03853778786195e-18;1.45399583059035e-15;1.9778442703231e-18
SRR12661200;0;3.53632136952646;4.93465507227399;NA;1.95885935724112e-18;1.95885935724112e-18
SRR12661202;0;7.76418651913115;4.95861185894101;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12661208;6.41538266516161;2.63658649327913;12.4428445027155;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661209;32.8576034794886;2.16958976242576;20.5691565186128;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12661214;1.57021298257007;7.83827065630682;2.46078665032691;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763277;3.27903071337734;2.98094079294302;14.8440968268482;1;NA;1.26275395515065e-23
SRR12763292;1.37584149862462;3.0510379968882;1.29532949672385;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763293;0.952949881387265;9.82281819519492;4.99818730120887;1;1.97795580444976e-18;1.97795580444976e-18
SRR12763310;4.84422591899724;11.1829546627664;17.2771487038644;3.00909493619894e-05;1.97795580444976e-18;1.97795580444976e-18
SRR12763313;1.02221055537743;4.5917782590011;8.62417270030236;NA;1.97795580444976e-18;1.97795580444976e-18
SRR12763319;1.1538259375802;1.36889920960432;3.68616691349733;1.4661581069113e-10;6.64896757179467e-17;1.97795580444976e-18
SRR12763323;0;1.66852976610978;9.94898746861526;NA;NA;7.77373981688446e-24
SRR12763329;4.87786906189399;7.16362010781144;4.87531673781075;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763336;4.87097670572165;9.0232758033459;7.33768286085603;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763339;0.313840515003989;3.7994141323644;1.35514316502546;3.41396094398295e-17;1.97795580444976e-18;1.97795580444976e-18
SRR12763343;6.17688873116929;13.6393983851472;14.8688987422824;0.995750916262386;1.97795580444976e-18;1.97795580444976e-18
SRR12763434;20.6583159595306;18.4032150916093;24.4376664611553;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763487;0.993420013922491;2.23375716512959;3.69322486486722;1.30916191684197e-11;1.9776212199546e-18;1.9776212199546e-18
SRR12763497;7.77679906056169;6.12943942409385;27.1107394091804;1.98739874784836e-17;NA;1.94629885679903e-18
SRR12763531;2.44639150782774;5.64660531886943;2.47896433517603;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763539;4.63988198660139;6.10717946719666;12.3751543277296;2.74183305056726e-12;1.97795580444976e-18;1.97795580444976e-18
SRR12763546;0;7.15107597607623;2.43773184916376;NA;1.97728668910923e-18;1.97728668910923e-18
SRR12763556;3.58521262566449;6.86070486369148;0;1.97773274215817e-18;1.97773274215817e-18;NA
SRR12763559;1.19969892649044;4.26227405608483;5.01260367675679;2.75328761611777e-13;1.97795580444976e-18;1.97795580444976e-18
SRR12763576;6.6845827603682;7.30753695729868;21.0407930302795;3.32737929809799e-10;1.04704660410365e-16;1.97795580444976e-18
SRR12763580;3.61573645105186;4.56265951281006;7.33359719167245;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763597;3.48621464315382;8.66375142188746;3.60854340644883;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763609;12.1284370155142;9.83990180383938;14.7427680440253;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763619;1.12400834663309;0;9.95081871567688;NA;NA;7.77373981688446e-24
SRR12763621;7.30341362709188;0.308184928799693;8.53035249769824;1.97795580444976e-18;NA;1.97795580444976e-18
SRR12763627;1.12946399188216;2.57612506311111;2.47127457210548;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
SRR12763629;4.79691390350941;5.19244757528635;7.36621513914373;1.97795580444976e-18;1.97795580444976e-18;1.97795580444976e-18
